year,sideA,sideB,weight,agression
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2018,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
2019,juarez cartel,sinaloa cartel,230,10.876158617846391
